# 灭虫小游戏按回合生成表（SPEC §9.11.8 / §B.14）,,,
# turn=0 开局布置；turn=N 为第 N 次有效滑动后的生成阶段,,,
# entityType: Bug | Werewolf；value 须为 2 的幂（2,4,8...）,
turn,entityType,value,spawnCount
0,Werewolf,4,1
0,Bug,2,4
1,Bug,2,1
2,Bug,4,1
3,Bug,8,1
4,Bug,8,1
5,Bug,16,1
6,Bug,16,1
7,Bug,32,1
8,Bug,32,1
9,Bug,64,1
10,Bug,64,1
11,Bug,64,1
12,Bug,64,1
13,Bug,64,1
14,Bug,64,1
15,Bug,64,1
16,Bug,64,1
17,Bug,64,1
18,Bug,64,1
19,Bug,64,1
20,Bug,64,1
21,Bug,64,1
22,Bug,64,1
23,Bug,64,1
24,Bug,64,1
25,Bug,64,1
26,Bug,64,1
27,Bug,64,1
28,Bug,64,1
29,Bug,64,1
30,Bug,64,1
31,Bug,64,1
32,Bug,64,1
33,Bug,64,1
34,Bug,64,1
35,Bug,64,1
