# SPEC §B.21：角色等级成长表（v3.188）
# 列：level,intelligence,memory,imagination,physique,charm,emotionalIntelligence,expToNextLevel,baseHp,baseAtk,baseAtkSpeed
# baseHp→maxHp；baseAtk→atk；baseAtkSpeed→agility
level,intelligence,memory,imagination,physique,charm,emotionalIntelligence,expToNextLevel,baseHp,baseAtk,baseAtkSpeed
1,10,10,10,10,10,10,100,25,12,2
2,12,12,12,12,12,12,150,30,14,3
3,14,14,14,14,14,14,200,36,16,3
4,16,16,16,16,16,16,260,42,18,4
5,18,18,18,18,18,18,330,50,20,4
6,20,20,20,20,20,20,410,58,23,5
7,22,22,22,22,22,22,500,66,26,5
8,24,24,24,24,24,24,600,75,29,6
9,26,26,26,26,26,26,720,85,32,6
10,28,28,28,28,28,28,850,95,36,7
