# 种子包品质 → 权重表（SPEC §B.4 / §B.4.2）,,,
# 列：quality, plantConfigId, weight,
# quality ∈ {Common, Rare, Epic, Legendary}；weight 必须 >= 0；同品质内权重和 > 0
quality,    plantConfigId, weight,
Common,     fanqie,80,
Common,     lajiao,10,
Common,     chaomei,10,
Common,     fanqie,10,
Common,     xigua,10,
Common,     nangua,10,
Common,     huasheng,10,
Rare,       fanqie,30,
Rare,       xigua,10,
Rare,       lajiao,30,
Rare,       chaomei,25,
Rare,       huasheng,5,
Epic,       xigua,30,
Epic,       chaomei,35,
Epic,       nangua,25,
Epic,       huasheng,10,
Legendary,  fanqie,8,
Legendary,  xigua,25,
Legendary,  lajiao,8,
Legendary,  chaomei,9,
Legendary,  nangua,25,
Legendary,  huasheng,25,
