# 主线关卡定义（SPEC §9.8.8.7 / §9.8.8.8）,,,,,,,,,,,
# 列：levelNumber, isBoss, displayName, infoSpritePath, victoryRewards,,,,,,,
# isBoss: 0/1 或 false/true,,,,,,,,,,,
# victoryRewards：固定产出模式；多条用 ; 分隔，每条 kind:id:count（kind ∈ Seed/Fertilizer/SeedPack）,,,,,,,,,,,
levelNumber,isBoss,displayName,infoSpritePath,victoryRewards,,,,,,,
1,0,1-1,,SeedPack:Common:2,,,,,,,SeedPack:Common:2
2,0,1-2,,SeedPack:Common:2,,,,,,,
3,0,1-3,,SeedPack:Common:2,,,,,,,
4,0,1-4,,SeedPack:Common:2,,,,,,,
5,1,1-5,,SeedPack:Rare:2,,,,,,,
6,0,1-6,,SeedPack:Common:2,,,,,,,
7,0,1-7,,SeedPack:Common:2,,,,,,,
8,0,1-8,,SeedPack:Common:2,,,,,,,
9,0,1-9,,SeedPack:Common:2,,,,,,,
10,1,1-10,,SeedPack:Rare:2,,,,,,,
11,0,1-11,,SeedPack:Common:2,,,,,,,
12,0,1-12,,SeedPack:Common:2,,,,,,,
13,0,1-13,,SeedPack:Common:2,,,,,,,
14,0,1-14,,SeedPack:Common:2,,,,,,,
15,1,1-15,,SeedPack:Rare:2,,,,,,,
16,0,1-16,,SeedPack:Common:2,,,,,,,
17,0,1-17,,SeedPack:Common:2,,,,,,,
18,0,1-18,,SeedPack:Common:2,,,,,,,
19,0,1-19,,SeedPack:Common:2,,,,,,,
20,1,1-20,,SeedPack:Rare:2,,,,,,,
21,0,1-21,,SeedPack:Common:2,,,,,,,
22,0,1-22,,SeedPack:Common:2,,,,,,,
23,0,1-23,,SeedPack:Common:2,,,,,,,
24,0,1-24,,SeedPack:Common:2,,,,,,,
25,1,1-25,,SeedPack:Rare:2,,,,,,,
26,0,1-26,,SeedPack:Common:2,,,,,,,
27,0,1-27,,SeedPack:Common:2,,,,,,,
28,0,1-28,,SeedPack:Common:2,,,,,,,
29,0,1-29,,SeedPack:Common:2,,,,,,,
30,1,1-30,,SeedPack:Rare:2,,,,,,,
31,0,2-1,,SeedPack:Common:2,,,,,,,
32,0,2-2,,SeedPack:Common:2,,,,,,,
33,0,2-3,,SeedPack:Common:2,,,,,,,
34,0,2-4,,SeedPack:Common:2,,,,,,,
35,1,2-5,,SeedPack:Rare:2,,,,,,,
36,0,2-6,,SeedPack:Common:2,,,,,,,
37,0,2-7,,SeedPack:Common:2,,,,,,,
38,0,2-8,,SeedPack:Common:2,,,,,,,
39,0,2-9,,SeedPack:Common:2,,,,,,,
40,1,2-10,,SeedPack:Rare:2,,,,,,,
